step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.022965,1.00e-04,2.9,7220
2,0,0.214397,1.00e-04,3.2,7236
3,0,0.010244,1.00e-04,3.5,7236
4,0,0.352949,1.00e-04,3.9,7236
5,0,0.265923,1.00e-04,4.2,7242
6,0,0.008768,1.00e-04,4.5,7249
7,0,0.036712,1.00e-04,4.8,7249
8,0,0.750700,1.00e-04,5.1,7249
9,0,0.353415,1.00e-04,5.6,7249
10,0,0.009727,1.00e-04,5.9,7249
11,0,0.151822,1.00e-04,6.2,7249
12,0,0.678093,1.00e-04,6.6,7249
13,0,0.003343,1.00e-04,6.9,7249
14,0,0.194159,1.00e-04,7.3,7249
15,0,0.351345,1.00e-04,7.6,7249
16,0,0.006104,1.00e-04,8.0,7249
17,0,0.162501,1.00e-04,8.4,7249
18,0,0.508956,1.00e-04,8.8,7249
19,0,0.005946,1.00e-04,9.1,7249
20,0,0.503585,1.00e-04,9.5,7249
21,0,0.078746,1.00e-04,9.8,7249
22,0,0.033266,1.00e-04,10.1,7249
23,0,0.078152,1.00e-04,10.4,7249
24,0,0.010492,1.00e-04,10.8,7249
25,0,0.055680,1.00e-04,11.1,7249
26,0,0.252152,1.00e-04,11.5,7249
27,0,0.034627,1.00e-04,11.8,7249
28,0,0.067209,1.00e-04,12.1,7249
29,0,0.150786,1.00e-04,12.4,7249
30,0,0.287400,1.00e-04,12.7,7249
31,0,0.459328,1.00e-04,13.0,7249
32,1,0.058948,1.00e-04,13.4,7249
33,1,0.017649,1.00e-04,13.7,7249
34,1,0.081277,1.00e-04,14.0,7249
35,1,0.431833,1.00e-04,14.3,7249
36,1,0.042764,1.00e-04,14.6,7249
37,1,0.452134,1.00e-04,14.9,7249
38,1,0.366878,1.00e-04,15.2,7249
39,1,0.004390,1.00e-04,15.6,7249
40,1,0.440966,1.00e-04,15.9,7249
41,1,0.076951,1.00e-04,16.3,7249
42,1,0.794629,1.00e-04,16.7,7249
43,1,0.186777,1.00e-04,17.0,7249
44,1,0.022963,1.00e-04,17.3,7249
45,1,0.317797,1.00e-04,17.7,7249
46,1,0.277862,1.00e-04,18.1,7249
47,1,0.350113,1.00e-04,18.4,7249
48,1,0.337179,1.00e-04,18.8,7249
49,1,0.395667,1.00e-04,19.2,7249
50,1,0.085329,1.00e-04,19.5,7249
51,1,0.018281,1.00e-04,19.8,7249
52,1,0.239819,1.00e-04,20.1,7249
53,1,0.002440,1.00e-04,20.5,7249
54,1,0.180022,1.00e-04,20.8,7249
55,1,0.003073,1.00e-04,21.1,7249
56,1,0.007114,1.00e-04,21.5,7249
57,1,0.107683,1.00e-04,21.9,7249
58,1,0.148760,1.00e-04,22.2,7249
59,1,0.123202,1.00e-04,22.5,7249
60,1,0.054239,1.00e-04,22.9,7249
61,1,0.148588,1.00e-04,23.1,7249
62,1,0.033433,1.00e-04,23.4,7249
63,2,0.860489,1.00e-04,23.9,7249
64,2,0.029474,1.00e-04,24.2,7249
65,2,0.181137,1.00e-04,24.5,7249
66,2,0.058270,1.00e-04,24.8,7249
67,2,0.026417,1.00e-04,25.2,7249
68,2,0.199369,1.00e-04,25.5,7249
69,2,0.065387,1.00e-04,25.8,7249
70,2,0.629552,1.00e-04,26.1,7249
71,2,0.130756,1.00e-04,26.4,7249
72,2,0.098898,1.00e-04,26.7,7249
73,2,0.024086,1.00e-04,27.0,7249
74,2,0.390559,1.00e-04,27.4,7249
75,2,0.344410,1.00e-04,27.7,7249
76,2,0.042850,1.00e-04,28.0,7249
77,2,0.055841,1.00e-04,28.4,7249
78,2,0.779886,1.00e-04,28.8,7249
79,2,0.049693,1.00e-04,29.1,7249
80,2,0.027202,1.00e-04,29.5,7249
81,2,0.034661,1.00e-04,29.9,7249
82,2,0.078511,1.00e-04,30.2,7249
83,2,0.112301,1.00e-04,30.6,7249
84,2,0.197956,1.00e-04,31.0,7249
85,2,0.056841,1.00e-04,31.3,7249
86,2,0.015084,1.00e-04,31.6,7249
87,2,0.787560,1.00e-04,31.9,7249
88,2,0.002574,1.00e-04,32.3,7249
89,2,0.094350,1.00e-04,32.6,7249
90,2,0.394991,1.00e-04,32.9,7249
91,2,0.018544,1.00e-04,33.2,7249
92,2,0.129725,1.00e-04,33.5,7249
93,2,0.068863,1.00e-04,33.8,7249
94,3,0.089548,1.00e-04,34.2,7249
95,3,0.170356,1.00e-04,34.4,7249
96,3,0.008447,1.00e-04,34.8,7249
97,3,0.048665,1.00e-04,35.1,7249
98,3,0.486742,1.00e-04,35.5,7249
99,3,0.116062,1.00e-04,35.9,7249
100,3,0.264601,1.00e-04,36.2,7249
